Name,Interests
Yi (April) Wang,"aging, longevity, end of life"
"Sicong ""Summer"" Sun","Social determinants of health and health equity, asset building and financial capability, poverty inequality and social mobility"
Laneshia Conner ,"HIV and aging, adult learning principles in higher education, anti-racism in social work education"
Antonio Garcia,"Disparities in child-serving systems of care, dissemination and implementation of evidence-based interventions for youth and families of color in child-serving systems of care, BIPOC fatherhood engagement and co-equal parenting, trauma-informed care in schools and child welfare agencies, interventions for multi-system youth"
Zadonna Slay,"Voting rights and empowerment, non-profit management, black women disparity, Strong Black Women schema, Black feminist perspective"
Keith Watts,"LGBTQ+ intersectionality, Black LGBTQ+ individuals, LGBTQ+ youth"
Minhae Cho,
Elena Delavega,"poverty, intersection of oppression, marginalization, and exclusion, education, disabilities, ontologies"
Gregory Washington,
Jerry Watson,
Seok Won Jin,"health equity, disparities in health behaviors, cancer screening, internet addiction, vulnerable populations, adults of color"
Edward C. Chang,"predictors of psychological and physical adjustment, optimism and pessimism, perfectionism, social problem solving"
Linda M. Chatters,"religious involvement and well-being, social support networks of adult/elderly African Americans, intergenerational family relations, families and health"
David Córdova,"Drug abuse, HIV/STI, prevention, community-based participatory research, adolescents, health disparities"
Ashley E Cureton,"child and adolescent development among refugee populations, marginalized groups in global contexts like SOuth Africa, Morocco, Peru and Ecuador"
William Elliot III,"Economic, educational, and racial disparities; social policy; mental health; child development"
James M. Ellis,"K-20 education and career pathways of low income and racial minority 
students, education pipeline intervensions, racism and discrimination in
 secondary and postsecondary settings, program evaluation, and 
underrepresented students’ college preparation, access, and success"
Katrina R. Ellis,"African American family health interventions; cancer prevention and 
survivorship; self and family management of multiple chronic conditions;
 racial and ethnic disparities in health; digital health; 
community-based participatory research"
Larry M. Gant,"program evaluation, social action, community-based health programs, public health, international social work, arts-based community development, health disparities, HIV/AIDS, poverty, violence-related PTSD"
Odessa  Gonzalez Benson,"refugee resettlement, refugee/migrant-led organizations, participatory approaches to urban governance and social services with refugees, state-civil society relations, critical policy studies"
Lorraine M. Gutiérrez,"Empowerment-oppressed groups, Latinos, social justice."
Jaclynn M. Hawkins,African American and Latino men's health; Social determinants of health/health disparities; Factors that contribute to access to and utilization of care; Diabetes self-management; Community-based interventions targeting low-income African Americans and Latinos
Lydia W. Li,"social isolation, depression, and suicide in older adults; ageism; cross-cultural gerontology; community-based interventions"
Jamie Mitchell,"African American men's health; cancer health disparities, patient-provider communication; psychosocial well-being and family 
support; social determinants of health"
Robert M. Ortega,"Child welfare, juvenile justice, serious mental illness."
Sunggeun (Ethan)  Park,"human service organization, nonprofit strategy and management, client engagement in services, empowerment practice, child welfare policy, health services and access and public-private collaboration"
Rogério Meireles Pinto,Implementation Science; HIV prevention; Oppressed Groups; Practitioners; International Research
Camille R. Quinn,"health equity of African American adolescents and young adults at the intersections of race, gender, health, crime and system involvement."
Trina R. Shanks,"Child well-being, asset building, 529 college education plans, SEED, Rhodes scholar, economic development"
Robert Joseph Taylor,Informal social support networks of adult/elderly African Americans.
Daphne C. Watkins,Behavioral interventions; equity; marginalized groups; mixed methods; leadership development; strategy and efficiency; organizational structures
Xiaoling Xiang,"Health services research, integrated care models, late-life mental health care, depression, chronic disease, comorbidity, aging in place, health disparities, implementation research"
Meiko Yoshihama,"Violence against women, community organizing and participatory action research in immigrant and marginalized communities, theatre-based prevention, mental health."
Anao Zhang,Psych-Oncology; AYA survivorship; social determinants of youth health and mental health; evidence-based practice; and integrated behavioral health.
Daicia R. Price,"Children and Families, Mental Health, Organizational Leadership, Supervision, Diversity and Inclusion, Gender Variances, Integrated Health, Suicide Prevention and Community Organization"
Saida Abdi,Refugee youth and families; refugee and immigrant mental health; trauma systems therapy; building culturally responsive interventions
Joan Blakey,"child advocacy, protection, and welfare; diversity, equity, and inclusion (DEI); justice and corrections; substance use and substance use treatment; and trauma and trauma-informed care"
Priscilla Gibson,African American grandmothers as kinship care providers; families with children who have developmental delays; qualitative research methods; teaching social justice content
Mimi Choy-Brown,community mental health services and implementation science
Yi Jin Kim,"suicide, health risk behaviors, substance use, mental health"
Younghee Lim,"poverty, policy, economic well-being"
Misa Kayama,"disabilty, race, immigrants"
Saijun Zhang,"child welfare, youth behavioral health, health disparities and inequities, social determinants of health"
Hsun-Ta Hsu,"Health, homelessness, housing, social network, intervention with homeless adults and youth"
Dong Pil Yoon,"Spiritual Virtues, intercountry adoption"
Mansoo Yu,"Health-risk behaviors, health disparity, mental health and physical health, epidemiology, population health"
LaVerne Berkel,"emotional family and spiritual health, role of counseling psychologists in integrated healthcare, effect of build environment on health outcomes, diversity issues, religion and spirituality, counseling and health"
Chris Brown,"cultural dimensions of career development, ethics and professional issues, gender transition, intimate partner violence"
Loyce Caruthers,"School desegregation; Social context of schools; Urban schools; Education administration; Social justice, narrative inquiry"
Donna M. Davis,History and philosophy of education; Urban education; Social justice and arts education; Gender and education; Race and schooling in the United States
Oh-Ryeong Ha,"cognitive development, eating decisions, childhood obesity, self-control prosocial decision-making"
Etta Hollins,"Teaching and teacher preparation for diverse and underservice students in P-12 schools, The design and redesign of preservice teacher preparation and professional development"
Robert Prue,"American Indian mainstream systems of care, Natice American Church involvement on alcohol abuse"
Baorong Guo,"human service nonprofits, social policy, socioeconomic development of low-income families"
Florian Sichling,"Include minority youth development, transition to adulthood, inequality, comparative research, social policy"
Sha-Lai Williams,"cultural competence among social work, helping professionals and racial/ethnic disparities in access to mental health services with an emphasis on African Americans and an emerging adults"
Uma A. Segal,immigrant and refugee integration from a global perspective
Phyllis Ngai,"culture, communication, indigenous perspectives, social justice, social change, sustainable development"
Vernon Carter,"variables that may predict placement of children into out-of-home care, domestic violence, race and ethnicity, placement of latino children in kinship care"
Ngozi Enelamah,Educational PolicySocial TheoryQuantitative Social ResearchQualitative Social ResearchPublic Health
Chung Hyeon Jeong,Public HealthQualitative and Multi-method ResearchHealth Politics and PolicyQuantitative Social ResearchQualitative Social Research
BoRin Kim,"intergenerational relations and support, transitions in physical/cognitive functioning in old-age, social support and mental health in old age, health care utilization, long-term care services and comparitive research"
Tarkington Newman,"at-risk children/youth, life skills training, sports/athletics, youth development/leadership"
Sherri Simmons-Horton,"race, gender, and racism of children, youth, and families in child welfare and juvenile justice systems. Specifically, examining ways to dismantle racial and gender disparities present for Black crossover youth. Through primarily a Black Feminism lens, my research also seeks to highlight the factors related to empowerment of Black females with multi system involvement."
Dante D. Bryant,"racial institutional inequity, Black and White body politics, Intersectional analysis of social work education, practice and pedagogy"
Tianca Crocker,"digital equity, economic opportunity, social welfare and tech policy formation"
Yuqi Guo,Health Disparity
Othelia Lee,"gerontology, health promotion, cultural diversity"
Sonyia Richardson,"barriers to mental health treatment for Black populations, suicide reduction in Black populations, schools, churches, and educational systems in mental health intervention efforts"
Josalin Hunter,"Black mental health, sexual health, resilience, mentoship, social justice and health disparities"
Tiffany Lane,"child and family service, academic and social supports for African Americans, women empowerment and leadership development"
Yi-Ping Hsieh,"internet addiction, cyberbullying, cybercrime, online safety, child abuse and neglect, parenting, culture value and practice, bullying, victimization, violence against women and children, mental health and behavioral problems of children and youth, quantitative research methods, longitudal data analysis"
Isaac Karikari,"children, youth and families, substance abuse/addictions and mental health, systems of care, health disparities, cross-cultural/multicultural differences in social phenomena, program evaluation, critical discourse analysis/critical social work, school bullying, international social work"
June-Yung Kim,"developmental effects of prenatal drug exposure, co-occurrence of mental health and substance use problems, inntergenerational trauma and resilience, motivational interviewing, longitudinal date analysis, literature synthesis and gap mapping"
Jasmine D. Haynes,"trauma-informed professional development, racial trauma in schools, school racial climate, social-emotional well-being of racially minoritized youth"
Huei-Wern Shen,"Productive aging (civic engagement and caregiving in old age) and its impacts on health, health behaviors, and aging in place and understanding productive later life through interdisciplinary research."
Sei-Young Lee,"Youth outcomes from adverse childhood experiences, juvenile delinquency and substance use, risk and protective factors of juvenile delinquency, child welfare, racial/ethnic and gender differences in child maltreatment and delinquency, domestic violence/intimate partner violence in immigrant women with acculturation and gender norms"
Anthony De Jesús,"cultural, educational, and diversity issues, development of social work careers for Latinos and the effectiveness of cultural competence training in child welfare"
Madeline Perez De Jesus,"high school admissions, public school choice, Latina adult learners, social work education, social and cultural capital"
Kingsley Chigbu,"prevention, mitigation and treatment of mentall illness, substance abuse, victimization involving children and adults"
Jaeseung Kim,"work and care challenges for low-income families, workplace flexibility and parenting, child care subsidy programs, poverty and material hardship"
Bongki  Woo,"health and mental health consequences of inequality in society, social and environmental determinants of health, racism, racial prejudice, and discrimination, asian americans"
Nikki Wooten,"substance use and psychological problems in military personnel and veterans, gender differences in military behavioral health service utilization, post-deployment mental health"
Yanfeng Xu,"foster care and kinship care, child abuse and neglect, child mental/behavioral health, grandparents raising grandchildren"
Soonhee Roh,"positive adaptation in aging, American Indian health disparities, behavior change intervention using RCT, rural health, telemedicine intervention, minority mental health and service utilization"
Iraida V. Carrion,"end of life care, cancer and health decisions among Latinos  in the USA, indigenous communities in Northeast india, older adults in Barcelona, Spain and Latinos in Central Florida"
Manisha Joshi,"domestic violence, sexual violence, women's health"
"Jeongsuk ""Jenna"" Kim","violence agains women and children, intimate partner violence child abuse, human trafficking, prevention of violence and victimization among socially and racially vulnerable populations"
Nan Sook Park,"social isolation, social networks, health disparities, older immigrants, psychosocial resources"
Guitele J. Rahill,Reducing health disparities and enhancing health outcomes for Haitians by increasing the uptake and implementation of evidence-based interventions in Haitian enclaves
Dasha Rhodes,Police and community relations; psychological distress among Black/African Americans; community violence and public health; police and social work
Chris Simmons,Cognitive Complexity; Cognitive Development; Clinical Supervision; Multicultural Social Work Practice; and Mental Health and Well-being
Veronica C. Huggins,
Natallie Gentles-Gibbs,"child welfare reform, family empowerment, perspectives on systemic readiness for change, child welfare organizational culture, transnational social work practice, social work with migrant populations, community-engaged research"
Dorothea Ivey,"grandparents raising grandchildren, intergenerational programs and policies, nonprofit administration, social welfare policies, intergenerational reciprocity, intergenerational mobility"
Hermeet Kohli,"self-compassion integration in social work and higher education, impact of self-compassion practice in higher education during COVID-19 pandemic, culturally responsive practices with immigrants, refugees, and asylum seekers, raising bicultural families in Maine where one partner identifies as an Asian Indian, integrating maps in a social work diversity course, qualitative and quantitative reflections on challenges faced while teaching online human diversity courses, interdisciplinary service-learning projects and service learning in an online diversity course"
Buster Ogbuagu,"social policy, ethics, racen, antiracist/anti-oppression social work, gender issues, child welfare, multiculturalism, refugees, community organizing and advocacy, social welfare, child protection, mental health, addictions and disability, intersectionalities of oppression, anti-oppressive epistemologies"
Eva Moya,"homelessness, intimate partner violence, health disparities, community health, engages scholarship, HPV"
Hyejin Jung,"community-based practice, disparities in mental health care, mental health literacy and education, mental health in subsidized housing"
Yok-Fong Paat,"family health, health behavior, community health, mental health, child well-being, interpersonal and targeted violence, education, social integration, social justice, altruism, migration, immigration, homeland security"
Chien-jen Chiang,"maltreatment, children, racial disparities, child welfare"
Bonita B. Sharma,"Impact of natural and built environment on sustainability and gender equality
Community and global health
Technology
Empowerment and leadership of women
Human mobility
Global social work
Interdisciplinary and multidisciplinary research"
Lucinda Nevarez,"Health disparities
Health inequalities
Minority health and mental health issues
Health policy
Healthcare access and utilization
The influence of race and culture in accessing and the utilization of mental health and healthcare services"
Tamara Al Rawwad,behavioral health (mental health and substance use) in diverse populations; prescription drug use (opioid); HIV/AIDS
Luis R. Alvarez-Hernandez,"wellbeing of Latinx, LGBTQ+, and immigrant communities"
Leyla Feize,"social work education, minority mental health, Immigration and Autism/ADHD"
John Gonzalez,service delivery of mental health services to Hispanics
Nazanin Heydarian,"chronic disease disparities faced by disabled persons, social-cognitive and interpersonal barriers faced by disabled patients"
Lin Jiang,"gerontology, such as depression, social isolation, online social support among older adults, and Alzheimer's' disease"
Luis R. Torres-Hostos,"health disparities and social determinants of health with a focus on Hispanic and African American communities, community engagement initiatives aimed at building community resilience"
Mamta Ojha,"work-family issues among low-wage and immigrant workers, social work education in macro practice, re-entry in suburban and rural context, intimate partner violence and work, homelessness"
Celia Williamson,"human trafficking, domestic minor sex trafficking"
Tiffany D Sanders Baffour,"critical pedagogy; diversity, equity and inclusion; alternatives to carceral systems; health equity; community-based participatory research"
Jason Castillo,"Disadvantaged Children and Families with an Emphasis on Fathers, Social Work Education, Substance Use Disorder Counselor Education and Training, Social Welfare Policy, Macro, Social Work Practice"
Meeyoung O Min,"Prenatal Drug Exposure; Trauma; Maternal Mental Health; Child Development; Adolescence, Substance Use"
Martell Teasley,"African American Adolescent Development, Diversity in Cultural Competence, Black Studies, School Social Work Practice"
Jan Fook,"critical reflection, critical social work, social work practice research"
Yeongmin Kim,"family policy, child care policy, chuld support policy, poverty"
Valerie Thompson-Ebanks,"students with disabilities in higher education, academic accommodation, access and success, student veterans challenges, support and success, human diversity issues, social work education, rural social work practice"
Neely Mahapatra,"violence against minority women including immigrant South Asian women, refugees and other immigrant populations, human trafficking, international social work, usage of social network sites and mental health of college students, social and public policy, social justice"
Sukyung Yoon,public health dimensions of gerontological mental and physical health in the US and South Korea
Bassima Schbley,"culture and belief systems of Muslim Middle Eastern women living in the United States, PTSD in Middle Eastern children, spirituality, Islam"
J. Lloyd Allen,"HIV, sexuality, masculinity, communication"
Megan Hicks,"risk and protective factors influencing health risk behaviors and juvenile justice outcomes among Black youth, adverse childhood experiences, community risk factors, relational protective factors that impact health youth development"
Jun Hong,"bias-based bullying and victimization, racial microaggressions, social-ecological correlates and outcomes of school bullying and peer victimization, psychosocial outcomes of school bullying and peer victimization, school and campus shootings, juvenile justice"
Shantalea Johns,"neurobiology of trauma and trauma recovery, mental health and substance use, African American children, youth, and families, research methods, suicide"
Luisa Kcomt,"substance use and substance use disorders, health care access, health disparities, hospica and palliative care, sexual and gender minorities, racial/ethnic minorities, older adults"
Athena Kheibari,"social determinants of suicidal behavior, health disparities and socially constructed barriers resulting from suicide and overdose exposure, particularly among minority populations, attitudes towards substance use and opioid overdose, role of death anxiety in suicide and stigma from a terror management theory perspective"
Tam Perry,"transitions, built environment and aging, gerontological social work, long-term care issues"
Hadih Deedat,"child welfare, immigrant and refugee welfare"
Henry Poduthase,"psycho-social challenges of children, adolescents, families to refugees and social policies"
Shannon Sales,
Hyejoon Park,"racial/ethnic relations, cross-cultural studies, relative/kinship-care, maternal/women health, child health, environmental/community health, evaluation of community services and programs, social/welfare policies for low-income and/or ehtnic-minority/immigrant families"
Bridget Weller,"reducing and eliminating disparites in access, quality, and outcomes experienced by individuals with mental health disorders from racial and ethnic minority groups"
Sunday Fakunmoju,"impacts of parental and interpersonal violence and abuse on attitudes, behaviors, and psychosocial outcomes, efficacy of intervention in preventing violence and treating its effects"
Maria del Mar Farina de Parada,"Race, immigration, politica psychology"
Eveline (Ndii) Kalomo,"adolescents/children, prison offenders, women living with HIV, gerontology, HIV and well-being, kinship among families of African decent, international social work and social development, intersection of mental health, HIV, substance use, and intimate partner violence in older adults and children's educational outcomes"
Kyoung Lee,"general well-being, health, health disparities, health care, older adult immigrants and native americans, homelessness, substance abuse, recidivism, socioeconomic well-being of low-income families or welfare leavers"
Jeoung Min Lee,"youth violence, youth public health, youth illicit drug use, bullying/peer victimization, cyberbullying victimization, ractial/ethnica minority youth"
Joi Anderson ,"trauma, trauma-related cognitions, relationships between race, discrimination, and HIV stigma in creating inter-reliant systems of disadvantage for vulnerable and under-served populations"
Monique Constance-Huggins ,"poverty, racial disparities, social policy, social capital"
Soohyoung Rain Lee,public health evaluation relating to disparities in health systems
Selena T. Rodgers,"Black women, violence as historical trauma, afrocentricity, posttraumatic growth, womanism, domestic and global social work education and administration"
